Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
0	19.658741	27.928932	84.05352	-10.0	189.84616	0.2962224	0.43069822	1.3087404	-0.8568835	600	1.9868216e-08	655.71735	-0.06411383	-221.25783	3.6028175	0.123607695	0.63166666	17.797832250595093
1	9.441709	9.103509	25.77104	-10.0	183.78947	10.329754	2.9056728	20.075861	3.3191175	1200	-1.4901161e-08	54.08141	-0.060866524	-29.055883	3.5200202	0.07153305	0.6666667	37.038620710372925
2	9.2033415	7.5250244	32.38003	-10.0	190.8421	11.1758175	3.882082	25.358978	1.3413206	1800	-3.228585e-08	61.362213	-0.037662983	-23.213518	3.324012	0.061232094	0.5933333	54.31263780593872
3	9.233199	2.9181774	16.146631	4.758099	194.10527	7.8669004	3.6517875	17.444204	-3.0352483	2400	1.7384687e-08	19.242685	-0.10122514	-12.317047	3.092282	0.06384491	0.54833335	73.619558095932
4	10.460744	6.2385917	27.470497	5.1017957	195.83333	7.2376385	2.2016866	16.07714	2.491848	3000	-5.7121117e-08	28.955664	-0.07115906	-5.5903115	2.980629	0.052115757	0.42666665	92.13329744338989
5	9.450533	16.602875	63.606663	-10.0	179.46666	7.711193	2.345283	13.591793	0.70301485	3600	-5.8983765e-09	155.84425	-0.053101152	-30.916037	3.1053512	0.05487408	0.53333336	108.86907839775085
6	11.023801	6.6521063	22.65471	-10.0	188.76471	10.619839	3.9058654	21.797607	2.4230669	4200	0.0	39.42692	-0.10760618	-10.954957	2.8853014	0.054488536	0.51	126.12071490287781
7	19.275879	17.63634	66.72135	4.752577	192.89473	9.257329	3.9113371	19.58878	-0.5430277	4800	-3.973643e-08	248.31616	-0.088484704	-49.739258	2.7944212	0.063447565	0.57	143.79381847381592
8	16.848698	20.735794	95.60205	-10.0	186.89473	18.226156	5.5872216	30.657288	-2.091973	5400	-5.9604645e-08	304.64804	-0.06115817	-34.780792	2.733656	0.048018023	0.455	164.90595316886902
9	17.762978	17.329596	90.67432	7.1441774	188.95238	19.441912	4.8549924	32.1096	4.2490463	6000	2.4835268e-08	225.8871	-0.0672773	-37.19898	2.6047828	0.05624189	0.53000003	186.26520895957947
10	17.034676	6.692778	37.68518	8.717244	190.83333	15.522949	5.8117833	30.70721	-6.040242	6600	2.7318796e-08	65.44785	-0.10129402	-27.633375	2.4309092	0.04962824	0.49666667	207.53710556030273
11	16.078648	8.4864	30.428284	-10.0	183.38889	14.903908	3.7769866	32.05723	6.782605	7200	-1.9868216e-08	33.656765	-0.07875466	-9.34191	2.3055282	0.059015136	0.53	229.0043182373047
