Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
0	53.01528	23.305277	107.85401	21.036741	186.97223	61.95112	3.982943	72.34966	56.53159	1200	-3.7252903e-08	619.9253	0.1398554	-238.92516	0.46947518	0.42528185	0.65416664	31.834161520004272
1	22.374918	8.462382	43.29688	9.060082	189.20589	36.19972	8.939787	54.38679	14.451241	2400	-8.940697e-08	365.35474	-0.001088004	-244.48274	0.3318664	0.008982581	0.09583333	62.492674112319946
2	22.005745	10.041891	52.54438	10.210656	189.02777	21.760504	7.5707064	36.263474	4.228656	3600	-1.9868216e-08	75.37921	-0.0030249183	-3.833285	0.41799203	0.015004593	0.23	91.93760633468628
3	27.962778	27.109518	118.602104	5.3797936	189.08571	12.691245	9.679597	28.66989	-41.294937	4800	-7.450581e-09	557.48566	-0.0043639443	-144.5306	0.3800048	0.011501907	0.12666667	120.95783424377441
4	35.635754	25.721111	122.81962	5.3654203	190.26315	28.370518	6.2679534	44.140697	-5.0109224	6000	1.9868216e-08	492.08676	-0.013530354	-21.718103	0.3950404	0.008034001	0.08916666	153.86078310012817
5	42.7335	45.753662	182.57037	8.15973	187.40541	35.767677	7.7114854	51.41399	14.395739	7200	2.7318796e-08	1393.223	-0.008391532	-18.840792	0.53862786	0.016318033	0.12083334	187.07664227485657
6	22.341238	16.667253	89.46091	6.182648	189.51428	34.135788	9.326563	52.169712	11.774059	8400	6.45717e-08	349.67334	-0.0138697205	-154.4066	0.70269376	0.026902815	0.105	217.74162006378174
7	19.603573	13.693633	81.69326	8.670885	192.08109	19.92649	9.435107	43.566135	-0.39875662	9600	-8.940697e-08	81.55722	-0.016112482	0.3274199	0.77412087	0.017461494	0.1175	249.46207356452942
8	32.042885	28.880877	144.09825	7.4082212	188.72974	20.624264	11.295195	43.19386	-5.4886727	10800	-1.9868216e-08	499.30386	-0.010998045	-50.903503	0.7866406	0.012947765	0.095	281.5256836414337
9	42.449173	28.246876	166.73894	5.3664093	191.02777	29.228548	8.241677	52.171375	-0.06848274	12000	-1.4901161e-08	593.0217	-0.009268124	-70.87067	0.6653438	0.009893059	0.05666667	312.8571014404297
