Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	Time
0	5.713631	9.6112995	18.995571	-10.0	147.75	0.08123984	0.31422207	1.2155011	-0.9662626	900	-9.934108e-09	53.96468	-0.07069253	-21.31848	3.711654	0.0876773	0.51555556	20.013304710388184
1	4.7897267	9.917335	20.575016	-10.0	142.5	3.162389	3.222474	11.102524	-5.8995843	1800	9.934108e-09	40.29498	-0.09179316	-19.812193	3.578726	0.07357087	0.52555555	34.20349097251892
2	5.354965	12.790899	28.771824	-10.0	123.53333	2.6530843	4.6464763	15.889178	-12.909081	2700	-2.9802322e-08	77.29764	-0.11030003	-39.396687	3.4426606	0.049065012	0.45444444	49.93659424781799
3	8.857298	7.1662	22.768484	-10.0	137.95653	5.0096636	5.1634164	24.271206	-16.715902	3600	-1.9868216e-08	70.13662	-0.12374699	-31.569756	3.2916791	0.054263253	0.57666665	76.48933529853821
4	8.914172	9.091168	27.029842	-10.0	138.3	4.683023	5.2548594	20.92617	-16.125166	4500	-4.9670536e-08	71.87777	-0.11368319	-25.685522	3.32961	0.04652661	0.50555557	103.29418754577637
5	10.894866	10.011202	38.53034	-10.0	145.26086	6.106528	2.6177251	14.360941	-4.347831	5400	-1.4901161e-08	75.86185	-0.092241	-27.96373	3.183221	0.048028603	0.5188889	131.9286196231842
6	10.1071615	4.040187	22.773405	5.079624	139.08	8.227311	4.1995497	26.093548	-1.0637891	6300	5.4637592e-08	27.760284	-0.10338408	-14.265339	3.1372597	0.046068322	0.47444448	162.077495098114
7	9.6293545	8.254658	23.932673	-10.0	137.5238	7.4304223	2.1429389	13.193873	0.839712	7200	-1.9868216e-08	37.97494	-0.10533807	-9.868079	3.1321552	0.045835406	0.5088889	185.57812094688416
8	10.68794	6.091777	20.360111	-10.0	140.04347	7.02431	2.3562913	13.887577	0.82365274	8100	-9.934108e-09	37.4063	-0.09852356	-10.030953	3.1483433	0.05249523	0.51555556	213.36693739891052
9	7.7893763	9.102379	24.07607	-10.0	134.0	7.377154	2.3561566	13.649871	0.3714276	9000	-9.934108e-09	51.414593	-0.0909575	-9.475399	3.1777503	0.045124546	0.4877778	235.5711636543274
